t,y,x
0.000000000E0,3.966665566E-2,2.068986597E-1
3.333333333E-2,3.966665566E-2,2.068986597E-1
6.666666667E-2,4.668185251E-2,2.213811186E-1
1.000000000E-1,5.932321037E-2,2.413953257E-1
1.333333333E-1,7.088670013E-2,2.566582045E-1
1.666666667E-1,7.922086833E-2,2.644941775E-1
2.000000000E-1,8.794716930E-2,2.694703993E-1
2.333333333E-1,1.000109579E-1,2.752882792E-1
2.666666667E-1,1.258096073E-1,2.912277879E-1
3.000000000E-1,1.623957990E-1,3.099668955E-1
3.333333333E-1,2.061265934E-1,3.248570363E-1
3.666666667E-1,2.485990911E-1,3.318730143E-1
4.000000000E-1,2.830538997E-1,3.312512576E-1
4.333333333E-1,3.121669436E-1,3.271573390E-1
4.666666667E-1,3.243464549E-1,3.283519124E-1
5.000000000E-1,3.180601921E-1,3.306810586E-1
5.333333333E-1,2.912797367E-1,3.347706639E-1
5.666666667E-1,2.581013101E-1,3.339881003E-1
6.000000000E-1,2.210236531E-1,3.278470696E-1
6.333333333E-1,1.839604454E-1,3.142748030E-1
6.666666667E-1,1.501095147E-1,2.968429397E-1
7.000000000E-1,1.204098975E-1,2.765026406E-1
7.333333333E-1,9.750929763E-2,2.581084396E-1
7.666666667E-1,8.598624960E-2,2.472068265E-1
8.000000000E-1,7.551513326E-2,2.351326420E-1
8.333333333E-1,6.341992032E-2,2.185657236E-1
8.666666667E-1,5.465434154E-2,2.058570768E-1
9.000000000E-1,4.932322259E-2,2.010939861E-1
9.333333333E-1,5.140864002E-2,2.081011675E-1
9.666666667E-1,5.784686969E-2,2.222584781E-1
1.000000000E0,7.020268511E-2,2.421956108E-1
1.033333333E0,8.200339506E-2,2.575460005E-1
1.066666667E0,8.989298416E-2,2.653512299E-1
1.100000000E0,9.928289288E-2,2.708556640E-1
1.133333333E0,1.112731512E-1,2.775038849E-1
1.166666667E0,1.381210733E-1,2.938653266E-1
1.200000000E0,1.752746684E-1,3.125009276E-1
1.233333333E0,2.190003006E-1,3.267972713E-1
1.266666667E0,2.604803515E-1,3.323087358E-1
1.300000000E0,2.931271659E-1,3.308857052E-1
1.333333333E0,3.238916007E-1,3.272926539E-1
1.366666667E0,3.329660436E-1,3.288370857E-1
