t,x,y
0.000000000E0,2.452056745E-2,2.319711174E-1
3.333333333E-2,2.423629406E-2,2.287274087E-1
6.666666667E-2,2.405441308E-2,2.249667130E-1
1.000000000E-1,2.392041623E-2,2.202773558E-1
1.333333333E-1,2.357940940E-2,2.153593093E-1
1.666666667E-1,2.354642791E-2,2.101527530E-1
2.000000000E-1,2.318826026E-2,2.039978784E-1
2.333333333E-1,2.314759568E-2,1.974986366E-1
2.666666667E-1,2.294886870E-2,1.909798973E-1
3.000000000E-1,2.271342573E-2,1.844838384E-1
3.333333333E-1,2.266183765E-2,1.795328007E-1
3.666666667E-1,2.240623731E-2,1.762528744E-1
4.000000000E-1,2.269859473E-2,1.749034605E-1
4.333333333E-1,2.288389282E-2,1.749481442E-1
4.666666667E-1,2.293965851E-2,1.763798127E-1
5.000000000E-1,2.275169831E-2,1.794530462E-1
5.333333333E-1,2.233338820E-2,1.842218163E-1
5.666666667E-1,2.171120960E-2,1.904634471E-1
6.000000000E-1,2.130801765E-2,1.978422633E-1
6.333333333E-1,2.094343546E-2,2.058130700E-1
6.666666667E-1,2.077277485E-2,2.135855805E-1
7.000000000E-1,2.057931041E-2,2.211970928E-1
7.333333333E-1,2.026148299E-2,2.275432651E-1
7.666666667E-1,2.009630430E-2,2.328522167E-1
8.000000000E-1,2.007989596E-2,2.367591898E-1
8.333333333E-1,2.005622452E-2,2.385948844E-1
8.666666667E-1,2.028941868E-2,2.381916689E-1
9.000000000E-1,2.013270309E-2,2.358960169E-1
9.333333333E-1,1.991215148E-2,2.325191846E-1
9.666666667E-1,1.989700626E-2,2.287005962E-1
1.000000000E0,1.994845855E-2,2.241302992E-1
1.033333333E0,1.980423192E-2,2.190241901E-1
1.066666667E0,1.969601378E-2,2.135048858E-1
1.100000000E0,1.969469487E-2,2.076343046E-1
1.133333333E0,1.969079881E-2,2.010795997E-1
1.166666667E0,1.968536170E-2,1.945251028E-1
1.200000000E0,1.973769577E-2,1.884114269E-1
1.233333333E0,1.986216560E-2,1.832520315E-1
1.266666667E0,1.982343282E-2,1.799873926E-1
1.300000000E0,2.015587169E-2,1.787092938E-1
1.333333333E0,2.040501613E-2,1.787806090E-1
1.366666667E0,2.044349047E-2,1.807030674E-1
1.400000000E0,1.994909359E-2,1.838891391E-1
1.433333333E0,1.941688934E-2,1.887732851E-1
1.466666667E0,1.888313630E-2,1.948121648E-1
1.500000000E0,1.842393219E-2,2.019864579E-1
1.533333333E0,1.783625691E-2,2.093149748E-1
1.566666667E0,1.787060064E-2,2.170530038E-1
1.600000000E0,1.756140094E-2,2.242352525E-1
1.633333333E0,1.730271200E-2,2.296257115E-1
1.666666667E0,1.710626588E-2,2.343386963E-1
1.700000000E0,1.719559856E-2,2.374112161E-1
1.733333333E0,1.713199053E-2,2.389391797E-1
1.766666667E0,1.737735349E-2,2.379398345E-1
1.800000000E0,1.742025088E-2,2.354077851E-1
1.833333333E0,1.733060078E-2,2.317356307E-1
1.866666667E0,1.729006790E-2,2.275282560E-1
1.900000000E0,1.743582563E-2,2.227249151E-1
1.933333333E0,1.740425811E-2,2.171688064E-1
1.966666667E0,1.742587147E-2,2.110567816E-1
2.000000000E0,1.748856905E-2,2.047751292E-1
2.033333333E0,1.747424526E-2,1.979777012E-1
2.066666667E0,1.745397907E-2,1.910859463E-1
2.100000000E0,1.760643395E-2,1.845461533E-1
2.133333333E0,1.772583450E-2,1.796046718E-1
2.166666667E0,1.776419946E-2,1.766235900E-1
2.200000000E0,1.808014502E-2,1.756086847E-1
2.233333333E0,1.829726250E-2,1.761133989E-1
2.266666667E0,1.831424980E-2,1.779909963E-1
2.300000000E0,1.804189037E-2,1.812967065E-1
2.333333333E0,1.731308424E-2,1.864198527E-1
2.366666667E0,1.657660903E-2,1.929760536E-1
2.400000000E0,1.614413150E-2,2.007781218E-1
2.433333333E0,1.570200141E-2,2.088738204E-1
2.466666667E0,1.514050905E-2,2.166018330E-1
2.500000000E0,1.488154459E-2,2.238095432E-1
2.533333333E0,1.448724213E-2,2.294441070E-1
2.566666667E0,1.428975279E-2,2.343423651E-1
2.600000000E0,1.433453196E-2,2.374341957E-1
2.633333333E0,1.434872314E-2,2.389602608E-1
2.666666667E0,1.458839787E-2,2.381763655E-1
2.700000000E0,1.455296067E-2,2.358232040E-1
2.733333333E0,1.464520881E-2,2.323625243E-1
2.766666667E0,1.464262095E-2,2.286571693E-1
2.800000000E0,1.463805159E-2,2.243008558E-1
