t,x,y
0.000000000E0,-3.192718602E-1,2.348168008E-1
3.333333333E-2,-3.193492428E-1,2.329887510E-1
6.666666667E-2,-3.223079136E-1,2.291277360E-1
1.000000000E-1,-3.271547355E-1,2.230577743E-1
1.333333333E-1,-3.328563913E-1,2.126634688E-1
1.666666667E-1,-3.366801563E-1,1.948684258E-1
2.000000000E-1,-3.381220565E-1,1.727410959E-1
2.333333333E-1,-3.355514787E-1,1.294446744E-1
2.666666667E-1,-3.272662221E-1,9.317018088E-2
3.000000000E-1,-3.143676081E-1,5.745934120E-2
3.333333333E-1,-2.989186068E-1,2.551901413E-2
3.666666667E-1,-2.820128772E-1,-2.152881238E-3
4.000000000E-1,-2.647725200E-1,-2.533447337E-2
4.333333333E-1,-2.538064578E-1,-3.729022920E-2
4.666666667E-1,-2.397983585E-1,-5.036896023E-2
5.000000000E-1,-2.244988894E-1,-6.214312336E-2
5.333333333E-1,-2.066384734E-1,-7.439544803E-2
5.666666667E-1,-1.874383683E-1,-8.687534013E-2
6.000000000E-1,-1.744353349E-1,-9.492767366E-2
6.333333333E-1,-1.728332337E-1,-9.646456678E-2
6.666666667E-1,-1.784907904E-1,-9.443370015E-2
7.000000000E-1,-1.882971036E-1,-9.010320419E-2
7.333333333E-1,-1.997213262E-1,-8.495161386E-2
7.666666667E-1,-2.154394967E-1,-7.671308115E-2
8.000000000E-1,-2.322330784E-1,-6.604996663E-2
8.333333333E-1,-2.503958063E-1,-5.237285295E-2
8.666666667E-1,-2.646842482E-1,-3.920519892E-2
9.000000000E-1,-2.744224628E-1,-2.764611780E-2
9.333333333E-1,-2.809558519E-1,-1.620428443E-2
9.666666667E-1,-2.873496207E-1,-1.372493677E-3
1.000000000E0,-2.962167526E-1,1.842766864E-2
1.033333333E0,-3.101472596E-1,4.987490300E-2
1.066666667E0,-3.242238962E-1,9.084003520E-2
1.100000000E0,-3.327485690E-1,1.334738450E-1
1.133333333E0,-3.341849435E-1,1.746154419E-1
1.166666667E0,-3.289511141E-1,2.154611749E-1
1.200000000E0,-3.235779853E-1,2.316231765E-1
1.233333333E0,-3.191407216E-1,2.408543344E-1
1.266666667E0,-3.171822091E-1,2.419210368E-1
1.300000000E0,-3.179832287E-1,2.375063191E-1
1.333333333E0,-3.211881853E-1,2.313944655E-1
1.366666667E0,-3.268957978E-1,2.237406090E-1
1.400000000E0,-3.320115252E-1,2.107248638E-1
1.433333333E0,-3.360671386E-1,1.894758673E-1
1.466666667E0,-3.373082293E-1,1.538407038E-1
1.500000000E0,-3.333083129E-1,1.197409297E-1
1.533333333E0,-3.246841359E-1,8.379058335E-2
1.566666667E0,-3.114847974E-1,4.829481147E-2
1.600000000E0,-2.953960712E-1,1.580925556E-2
1.633333333E0,-2.779111552E-1,-1.193881207E-2
1.666666667E0,-2.635307279E-1,-3.065210617E-2
1.700000000E0,-2.504903303E-1,-4.473643916E-2
1.733333333E0,-2.360648375E-1,-5.745416253E-2
1.766666667E0,-2.200102856E-1,-6.918463112E-2
1.800000000E0,-2.020322167E-1,-8.089434973E-2
1.833333333E0,-1.833313815E-1,-9.322445792E-2
1.866666667E0,-1.736784528E-1,-9.877763948E-2
1.900000000E0,-1.754687782E-1,-9.866290204E-2
1.933333333E0,-1.826707652E-1,-9.584186062E-2
1.966666667E0,-1.929218865E-1,-9.139610636E-2
2.000000000E0,-2.057256669E-1,-8.476208779E-2
2.033333333E0,-2.218138737E-1,-7.508027073E-2
2.066666667E0,-2.390169012E-1,-6.209155921E-2
2.100000000E0,-2.557538820E-1,-4.754238936E-2
2.133333333E0,-2.685037832E-1,-3.406092242E-2
2.166666667E0,-2.771055119E-1,-2.297606283E-2
2.200000000E0,-2.830059790E-1,-1.162707070E-2
2.233333333E0,-2.893880860E-1,4.301231317E-3
2.266666667E0,-2.989491328E-1,2.539678675E-2
2.300000000E0,-3.135083974E-1,5.926719537E-2
2.333333333E0,-3.265642960E-1,1.011778513E-1
2.366666667E0,-3.338699452E-1,1.439549970E-1
2.400000000E0,-3.340202563E-1,1.830431317E-1
2.433333333E0,-3.282231061E-1,2.210627225E-1
2.466666667E0,-3.229045371E-1,2.365448159E-1
2.500000000E0,-3.191382058E-1,2.443529335E-1
2.533333333E0,-3.181230089E-1,2.433321867E-1
2.566666667E0,-3.202915397E-1,2.384240914E-1
2.600000000E0,-3.246980360E-1,2.317125251E-1
2.633333333E0,-3.301149925E-1,2.220604961E-1
2.666666667E0,-3.351673941E-1,2.067747265E-1
2.700000000E0,-3.386866089E-1,1.850247301E-1
2.733333333E0,-3.389915679E-1,1.458892199E-1
2.766666667E0,-3.334671846E-1,1.110637999E-1
2.800000000E0,-3.232102949E-1,7.525454864E-2
2.833333333E0,-3.092942044E-1,4.195769871E-2
2.866666667E0,-2.924164144E-1,1.117396148E-2
2.900000000E0,-2.748780860E-1,-1.544697165E-2
2.933333333E0,-2.618594845E-1,-3.180177291E-2
2.966666667E0,-2.480888056E-1,-4.574770534E-2
3.000000000E0,-2.326420064E-1,-5.886513706E-2
3.033333333E0,-2.162143341E-1,-7.005833435E-2
3.066666667E0,-1.973279800E-1,-8.226891494E-2
3.100000000E0,-1.792868762E-1,-9.279081946E-2
3.133333333E0,-1.744975360E-1,-9.412438800E-2
3.166666667E0,-1.780622039E-1,-9.349429733E-2
3.200000000E0,-1.868743463E-1,-9.000359149E-2
3.233333333E0,-1.971130665E-1,-8.554632527E-2
3.266666667E0,-2.111292183E-1,-7.883678928E-2
3.300000000E0,-2.283003759E-1,-6.866435254E-2
3.333333333E0,-2.468304599E-1,-5.529077573E-2
3.366666667E0,-2.627516927E-1,-4.102992167E-2
3.400000000E0,-2.749440085E-1,-2.849651989E-2
3.433333333E0,-2.829407302E-1,-1.713903268E-2
3.466666667E0,-2.890500831E-1,-5.677397079E-3
3.500000000E0,-2.962597972E-1,1.071089219E-2
3.533333333E0,-3.075283453E-1,3.388305407E-2
3.566666667E0,-3.223517068E-1,6.833143275E-2
3.600000000E0,-3.355144365E-1,1.119299070E-1
3.633333333E0,-3.414193718E-1,1.542186054E-1
3.666666667E0,-3.412011135E-1,1.899856667E-1
3.700000000E0,-3.360840523E-1,2.250850632E-1
3.733333333E0,-3.314270738E-1,2.402715830E-1
3.766666667E0,-3.282003074E-1,2.441637197E-1
3.800000000E0,-3.278250009E-1,2.405836814E-1
3.833333333E0,-3.306389616E-1,2.345513360E-1
3.866666667E0,-3.353023164E-1,2.257440599E-1
3.900000000E0,-3.402720035E-1,2.120437198E-1
3.933333333E0,-3.444352052E-1,1.944851201E-1
3.966666667E0,-3.462956553E-1,1.698685517E-1
4.000000000E0,-3.440721719E-1,1.276495847E-1
4.033333333E0,-3.368672934E-1,9.253677798E-2
4.066666667E0,-3.253038502E-1,5.791221528E-2
4.100000000E0,-3.099324902E-1,2.309261149E-2
4.133333333E0,-2.917678515E-1,-7.075551501E-3
4.166666667E0,-2.723665720E-1,-3.350596756E-2
4.200000000E0,-2.597892667E-1,-4.744814508E-2
4.233333333E0,-2.466233928E-1,-5.878310198E-2
4.266666667E0,-2.304662457E-1,-6.951569437E-2
4.300000000E0,-2.132886114E-1,-8.023455289E-2
4.333333333E0,-1.938830343E-1,-9.226778248E-2
4.366666667E0,-1.774992664E-1,-1.005470448E-1
4.400000000E0,-1.743551115E-1,-1.012894661E-1
4.433333333E0,-1.786477533E-1,-9.966053019E-2
4.466666667E0,-1.889564420E-1,-9.461249355E-2
4.500000000E0,-2.004097557E-1,-8.950917312E-2
4.533333333E0,-2.155139363E-1,-8.192465251E-2
4.566666667E0,-2.326496019E-1,-7.099957439E-2
4.600000000E0,-2.508951789E-1,-5.733724604E-2
4.633333333E0,-2.677813068E-1,-4.265733427E-2
4.666666667E0,-2.791523600E-1,-2.946822691E-2
4.700000000E0,-2.868647617E-1,-1.770042704E-2
4.733333333E0,-2.932283556E-1,-4.281124557E-3
4.766666667E0,-3.006380442E-1,1.169244167E-2
4.800000000E0,-3.138435412E-1,3.976181619E-2
4.833333333E0,-3.292872717E-1,7.763207531E-2
4.866666667E0,-3.412964456E-1,1.225594502E-1
4.900000000E0,-3.465346080E-1,1.672041892E-1
4.933333333E0,-3.456461088E-1,1.996038049E-1
4.966666667E0,-3.399937664E-1,2.342749977E-1
5.000000000E0,-3.360499701E-1,2.440999560E-1
5.033333333E0,-3.330249332E-1,2.427536664E-1
5.066666667E0,-3.330290620E-1,2.360714548E-1
5.100000000E0,-3.360887234E-1,2.271919672E-1
5.133333333E0,-3.408615452E-1,2.170331672E-1
5.166666667E0,-3.457399319E-1,2.037363301E-1
5.200000000E0,-3.494653867E-1,1.846863635E-1
5.233333333E0,-3.503180288E-1,1.588908966E-1
5.266666667E0,-3.468602573E-1,1.175389304E-1
5.300000000E0,-3.376673356E-1,8.153208702E-2
5.333333333E0,-3.246697940E-1,4.671265982E-2
5.366666667E0,-3.082098386E-1,1.358199655E-2
5.400000000E0,-2.890493511E-1,-1.614916904E-2
5.433333333E0,-2.709386603E-1,-3.889452801E-2
5.466666667E0,-2.568316885E-1,-5.301210979E-2
5.500000000E0,-2.424786822E-1,-6.504259284E-2
5.533333333E0,-2.256655869E-1,-7.496630444E-2
5.566666667E0,-2.069547443E-1,-8.605326860E-2
5.600000000E0,-1.881533298E-1,-9.712668415E-2
5.633333333E0,-1.741306231E-1,-1.022784456E-1
5.666666667E0,-1.749966592E-1,-1.021071098E-1
5.700000000E0,-1.819301768E-1,-9.855785264E-2
5.733333333E0,-1.938511137E-1,-9.317756327E-2
5.766666667E0,-2.062829235E-1,-8.780013330E-2
5.800000000E0,-2.220642175E-1,-7.955956393E-2
5.833333333E0,-2.390591033E-1,-6.850710116E-2
5.866666667E0,-2.574213863E-1,-5.453275676E-2
