t,x,y
0.000000000E0,3.357621845E-1,-1.972071564E-2
4.166666667E-3,3.357595191E-1,-1.970748412E-2
8.333333333E-3,3.357885555E-1,-1.970688721E-2
1.250000000E-2,3.358131869E-1,-1.968745486E-2
1.666666667E-2,3.358139439E-1,-1.972847984E-2
2.083333333E-2,3.357970580E-1,-1.972762607E-2
2.500000000E-2,3.357622016E-1,-1.979168712E-2
2.916666667E-2,3.357319609E-1,-1.985787244E-2
3.333333333E-2,3.357624105E-1,-1.995950975E-2
3.750000000E-2,3.357798722E-1,-2.009510080E-2
4.166666667E-2,3.357769547E-1,-2.011513659E-2
4.583333333E-2,3.357789644E-1,-2.016808225E-2
5.000000000E-2,3.357667050E-1,-2.053605031E-2
5.416666667E-2,3.357152892E-1,-2.103409290E-2
5.833333333E-2,3.357502754E-1,-2.180708753E-2
6.250000000E-2,3.357793990E-1,-2.341301044E-2
6.666666667E-2,3.354116702E-1,-2.515450686E-2
7.083333333E-2,3.353990711E-1,-2.726680605E-2
7.500000000E-2,3.354179150E-1,-2.981417777E-2
7.916666667E-2,3.347795544E-1,-3.271894949E-2
8.333333333E-2,3.346149139E-1,-3.531085063E-2
8.750000000E-2,3.345286195E-1,-3.870282614E-2
9.166666667E-2,3.339656445E-1,-4.186434622E-2
9.583333333E-2,3.333850957E-1,-4.504913663E-2
1.000000000E-1,3.333303951E-1,-4.829131898E-2
1.041666667E-1,3.326803671E-1,-5.168358854E-2
1.083333333E-1,3.319530901E-1,-5.489391823E-2
1.125000000E-1,3.319268251E-1,-5.811375215E-2
1.166666667E-1,3.313308049E-1,-6.179818168E-2
1.208333333E-1,3.304241875E-1,-6.507566841E-2
1.250000000E-1,3.300627498E-1,-6.836488477E-2
1.291666667E-1,3.295565054E-1,-7.252322632E-2
1.333333333E-1,3.282997625E-1,-7.668958834E-2
1.375000000E-1,3.276069458E-1,-8.077991760E-2
1.416666667E-1,3.266588788E-1,-8.570634728E-2
1.458333333E-1,3.250405418E-1,-9.059490363E-2
1.500000000E-1,3.236735921E-1,-9.526980809E-2
1.541666667E-1,3.226227945E-1,-1.001624778E-1
1.583333333E-1,3.207212179E-1,-1.055104425E-1
1.625000000E-1,3.188997002E-1,-1.103326287E-1
1.666666667E-1,3.175202792E-1,-1.156432643E-1
1.708333333E-1,3.154915912E-1,-1.210565597E-1
1.750000000E-1,3.132714308E-1,-1.259454022E-1
1.791666667E-1,3.117159219E-1,-1.311788795E-1
1.833333333E-1,3.093935898E-1,-1.366360250E-1
1.875000000E-1,3.069050459E-1,-1.416520345E-1
1.916666667E-1,3.050615688E-1,-1.464795835E-1
1.958333333E-1,3.027549080E-1,-1.519993747E-1
2.000000000E-1,2.999349478E-1,-1.570660201E-1
2.041666667E-1,2.976953609E-1,-1.620691312E-1
2.083333333E-1,2.950093144E-1,-1.678224258E-1
2.125000000E-1,2.918234342E-1,-1.732416036E-1
2.166666667E-1,2.885324504E-1,-1.786776209E-1
2.208333333E-1,2.857876243E-1,-1.840184371E-1
2.250000000E-1,2.822576613E-1,-1.893683099E-1
2.291666667E-1,2.788288538E-1,-1.944048880E-1
2.333333333E-1,2.756462798E-1,-1.997984467E-1
2.375000000E-1,2.719141162E-1,-2.049818990E-1
2.416666667E-1,2.681508283E-1,-2.098789436E-1
2.458333333E-1,2.646352319E-1,-2.151295645E-1
2.500000000E-1,2.608005655E-1,-2.199662380E-1
2.541666667E-1,2.568826656E-1,-2.244866680E-1
2.583333333E-1,2.530748287E-1,-2.293860481E-1
2.625000000E-1,2.490484108E-1,-2.344805824E-1
2.666666667E-1,2.449659365E-1,-2.386796562E-1
2.708333333E-1,2.408138368E-1,-2.433107342E-1
2.750000000E-1,2.367559978E-1,-2.481720580E-1
2.791666667E-1,2.321052987E-1,-2.523220080E-1
2.833333333E-1,2.278788120E-1,-2.564189605E-1
2.875000000E-1,2.233272959E-1,-2.609556061E-1
2.916666667E-1,2.185968377E-1,-2.649873275E-1
2.958333333E-1,2.140532720E-1,-2.689392471E-1
3.000000000E-1,2.093915040E-1,-2.731319612E-1
3.041666667E-1,2.045324904E-1,-2.766504112E-1
3.083333333E-1,1.997991642E-1,-2.805645670E-1
3.125000000E-1,1.953683287E-1,-2.843467393E-1
3.166666667E-1,1.906679456E-1,-2.874147611E-1
3.208333333E-1,1.856956397E-1,-2.906623575E-1
3.250000000E-1,1.813109144E-1,-2.941476152E-1
3.291666667E-1,1.766130927E-1,-2.972405895E-1
3.333333333E-1,1.718454843E-1,-3.001704870E-1
3.375000000E-1,1.672236208E-1,-3.032501988E-1
3.416666667E-1,1.627024723E-1,-3.059752661E-1
3.458333333E-1,1.580567872E-1,-3.087497890E-1
3.500000000E-1,1.535703398E-1,-3.113785570E-1
3.541666667E-1,1.491294532E-1,-3.135617160E-1
3.583333333E-1,1.448057881E-1,-3.159909326E-1
3.625000000E-1,1.405578367E-1,-3.183355130E-1
3.666666667E-1,1.364529682E-1,-3.199625092E-1
3.708333333E-1,1.323211246E-1,-3.218663446E-1
3.750000000E-1,1.282852700E-1,-3.240319749E-1
3.791666667E-1,1.243856810E-1,-3.255495838E-1
3.833333333E-1,1.205743238E-1,-3.270119100E-1
3.875000000E-1,1.168280992E-1,-3.290169579E-1
3.916666667E-1,1.135039923E-1,-3.304466969E-1
3.958333333E-1,1.102571787E-1,-3.312559824E-1
4.000000000E-1,1.068893030E-1,-3.328458345E-1
4.041666667E-1,1.040104467E-1,-3.339758475E-1
4.083333333E-1,1.012998587E-1,-3.346398493E-1
4.125000000E-1,9.839999865E-2,-3.359073897E-1
4.166666667E-1,9.595807912E-2,-3.368373543E-1
4.208333333E-1,9.384685947E-2,-3.371378967E-1
4.250000000E-1,9.156892834E-2,-3.382506581E-1
4.291666667E-1,8.959569471E-2,-3.390565408E-1
4.333333333E-1,8.809000588E-2,-3.389843439E-1
4.375000000E-1,8.646342334E-2,-3.396516433E-1
4.416666667E-1,8.486373141E-2,-3.405628901E-1
4.458333333E-1,8.390569441E-2,-3.403209562E-1
4.500000000E-1,8.295562648E-2,-3.406189813E-1
4.541666667E-1,8.180720812E-2,-3.415502234E-1
4.583333333E-1,8.138823787E-2,-3.413605660E-1
4.625000000E-1,8.116248989E-2,-3.411224233E-1
4.666666667E-1,8.059592507E-2,-3.418285736E-1
4.708333333E-1,8.074958217E-2,-3.417153882E-1
4.750000000E-1,8.103863111E-2,-3.410648662E-1
4.791666667E-1,8.113001911E-2,-3.414703054E-1
4.833333333E-1,8.147310927E-2,-3.416261220E-1
4.875000000E-1,8.222113233E-2,-3.406699457E-1
4.916666667E-1,8.287651982E-2,-3.407927968E-1
4.958333333E-1,8.369148842E-2,-3.408875230E-1
5.000000000E-1,8.489895272E-2,-3.400674383E-1
5.041666667E-1,8.598494752E-2,-3.397206211E-1
5.083333333E-1,8.709754446E-2,-3.398054108E-1
5.125000000E-1,8.866164819E-2,-3.389531508E-1
5.166666667E-1,9.020873818E-2,-3.383294044E-1
5.208333333E-1,9.163492764E-2,-3.383132440E-1
5.250000000E-1,9.348467684E-2,-3.375378869E-1
5.291666667E-1,9.534615004E-2,-3.365715011E-1
5.333333333E-1,9.704025625E-2,-3.362785717E-1
5.375000000E-1,9.885765002E-2,-3.359036351E-1
5.416666667E-1,1.010546677E-1,-3.346213738E-1
5.458333333E-1,1.029808256E-1,-3.341753133E-1
5.500000000E-1,1.050161423E-1,-3.336295479E-1
5.541666667E-1,1.072806403E-1,-3.323417918E-1
5.583333333E-1,1.093502042E-1,-3.314867969E-1
5.625000000E-1,1.115804356E-1,-3.309643251E-1
5.666666667E-1,1.139690952E-1,-3.297720264E-1
5.708333333E-1,1.162034685E-1,-3.288213911E-1
5.750000000E-1,1.184222365E-1,-3.281270009E-1
5.791666667E-1,1.207073772E-1,-3.269296276E-1
5.833333333E-1,1.230520368E-1,-3.258169726E-1
5.875000000E-1,1.253724909E-1,-3.251187844E-1
5.916666667E-1,1.277107000E-1,-3.239789265E-1
5.958333333E-1,1.300903157E-1,-3.226723295E-1
6.000000000E-1,1.323312424E-1,-3.219443788E-1
6.041666667E-1,1.348754157E-1,-3.207142725E-1
6.083333333E-1,1.371512715E-1,-3.193008937E-1
6.125000000E-1,1.392197815E-1,-3.185412666E-1
6.166666667E-1,1.417211459E-1,-3.172621302E-1
6.208333333E-1,1.439534312E-1,-3.157246716E-1
6.250000000E-1,1.460581752E-1,-3.151383930E-1
6.291666667E-1,1.483646393E-1,-3.139220331E-1
6.333333333E-1,1.508164253E-1,-3.121043815E-1
6.375000000E-1,1.527928174E-1,-3.111601512E-1
6.416666667E-1,1.549168351E-1,-3.103216201E-1
6.458333333E-1,1.572060751E-1,-3.087197405E-1
6.500000000E-1,1.592156505E-1,-3.073899020E-1
6.541666667E-1,1.613358467E-1,-3.066058101E-1
6.583333333E-1,1.634304278E-1,-3.051439652E-1
6.625000000E-1,1.654808770E-1,-3.038695304E-1
6.666666667E-1,1.673849673E-1,-3.029109110E-1
6.708333333E-1,1.693128058E-1,-3.016066144E-1
6.750000000E-1,1.712112041E-1,-3.002223786E-1
6.791666667E-1,1.730786020E-1,-2.992641431E-1
6.833333333E-1,1.748343475E-1,-2.979098689E-1
6.875000000E-1,1.766232993E-1,-2.965842273E-1
6.916666667E-1,1.783199748E-1,-2.957612634E-1
