t,y,x
0.000000000E0,2.853615697E-1,-2.533802839E-2
3.333333333E-2,2.853615697E-1,-2.533802839E-2
6.666666667E-2,2.822931145E-1,-2.534994628E-2
1.000000000E-1,2.784462474E-1,-2.544390054E-2
1.333333333E-1,2.745425460E-1,-2.546313719E-2
1.666666667E-1,2.718337447E-1,-2.560751707E-2
2.000000000E-1,2.691264121E-1,-2.583807095E-2
2.333333333E-1,2.656019476E-1,-2.592529089E-2
2.666666667E-1,2.615996451E-1,-2.588405771E-2
3.000000000E-1,2.571747310E-1,-2.580789751E-2
3.333333333E-1,2.522175951E-1,-2.578989444E-2
3.666666667E-1,2.481783799E-1,-2.594686376E-2
4.000000000E-1,2.453594505E-1,-2.627129200E-2
4.333333333E-1,2.452279924E-1,-2.649052626E-2
4.666666667E-1,2.472927632E-1,-2.705157887E-2
5.000000000E-1,2.516821769E-1,-2.675110213E-2
5.333333333E-1,2.580290916E-1,-2.662479150E-2
5.666666667E-1,2.655029383E-1,-2.682242517E-2
6.000000000E-1,2.733802451E-1,-2.671151586E-2
6.333333333E-1,2.808422446E-1,-2.688361600E-2
6.666666667E-1,2.877632448E-1,-2.692391779E-2
7.000000000E-1,2.927715540E-1,-2.706983149E-2
7.333333333E-1,2.967683795E-1,-2.746473677E-2
7.666666667E-1,2.989290899E-1,-2.740181622E-2
8.000000000E-1,2.990931971E-1,-2.754912446E-2
8.333333333E-1,2.986887155E-1,-2.792058474E-2
8.666666667E-1,2.979477973E-1,-2.813409350E-2
9.000000000E-1,2.969295613E-1,-2.827029863E-2
9.333333333E-1,2.948453870E-1,-2.802552960E-2
9.666666667E-1,2.914581523E-1,-2.776761497E-2
1.000000000E0,2.873660856E-1,-2.763272183E-2
1.033333333E0,2.834122206E-1,-2.737708104E-2
1.066666667E0,2.801331232E-1,-2.737929798E-2
1.100000000E0,2.772044605E-1,-2.746463226E-2
1.133333333E0,2.734918898E-1,-2.733371631E-2
1.166666667E0,2.693435490E-1,-2.747941702E-2
1.200000000E0,2.641280238E-1,-2.711737833E-2
1.233333333E0,2.586713878E-1,-2.682297147E-2
1.266666667E0,2.544374121E-1,-2.716254741E-2
1.300000000E0,2.509001167E-1,-2.705205055E-2
1.333333333E0,2.503373166E-1,-2.729945641E-2
1.366666667E0,2.521128148E-1,-2.752221585E-2
1.400000000E0,2.563218397E-1,-2.730384377E-2
1.433333333E0,2.625665362E-1,-2.733933302E-2
1.466666667E0,2.699464521E-1,-2.733441434E-2
1.500000000E0,2.776318826E-1,-2.740118166E-2
1.533333333E0,2.848049071E-1,-2.748248437E-2
1.566666667E0,2.912930549E-1,-2.766623644E-2
1.600000000E0,2.963058138E-1,-2.778199433E-2
1.633333333E0,3.001268240E-1,-2.816136039E-2
1.666666667E0,3.019706570E-1,-2.819898499E-2
1.700000000E0,3.020864218E-1,-2.850599229E-2
1.733333333E0,3.016149292E-1,-2.881293286E-2
1.766666667E0,3.010625981E-1,-2.919346611E-2
