t,x,y
0.000000000E0,5.003256913E-2,2.641733782E-1
3.333333333E-2,4.875961027E-2,2.622050870E-1
6.666666667E-2,4.735144445E-2,2.595631693E-1
1.000000000E-1,4.670682091E-2,2.570454933E-1
1.333333333E-1,4.600829582E-2,2.538790118E-1
1.666666667E-1,4.540504938E-2,2.507683382E-1
2.000000000E-1,4.476273346E-2,2.474549066E-1
2.333333333E-1,4.422132723E-2,2.447310587E-1
2.666666667E-1,4.374007554E-2,2.419078966E-1
3.000000000E-1,4.287817108E-2,2.380728341E-1
3.333333333E-1,4.239592970E-2,2.339450774E-1
3.666666667E-1,4.155441001E-2,2.293978028E-1
4.000000000E-1,4.069947357E-2,2.251233878E-1
4.333333333E-1,4.038601093E-2,2.226355616E-1
4.666666667E-1,4.028369329E-2,2.233298929E-1
5.000000000E-1,3.982688709E-2,2.268538005E-1
5.333333333E-1,3.973720842E-2,2.332239156E-1
5.666666667E-1,3.942197279E-2,2.418951063E-1
6.000000000E-1,3.896926167E-2,2.511319212E-1
6.333333333E-1,3.884949751E-2,2.603324619E-1
6.666666667E-1,3.877157479E-2,2.683110810E-1
7.000000000E-1,3.866028009E-2,2.745057543E-1
7.333333333E-1,3.809920581E-2,2.781699254E-1
7.666666667E-1,3.804030011E-2,2.790152906E-1
8.000000000E-1,3.760508073E-2,2.791312954E-1
8.333333333E-1,3.764757443E-2,2.793000908E-1
8.666666667E-1,3.779905645E-2,2.794366151E-1
9.000000000E-1,3.838073242E-2,2.791144949E-1
9.333333333E-1,3.663245804E-2,2.771029939E-1
9.666666667E-1,3.527783750E-2,2.745979790E-1
1.000000000E0,3.466559112E-2,2.722421180E-1
1.033333333E0,3.385851703E-2,2.697392264E-1
1.066666667E0,3.353782798E-2,2.668004033E-1
1.100000000E0,3.300359117E-2,2.641428198E-1
1.133333333E0,3.266984632E-2,2.622562145E-1
1.166666667E0,3.227788752E-2,2.596513738E-1
1.200000000E0,3.201523993E-2,2.564018932E-1
1.233333333E0,3.188334443E-2,2.524799755E-1
1.266666667E0,3.154571030E-2,2.479923354E-1
1.300000000E0,3.111760302E-2,2.438213299E-1
1.333333333E0,3.114601507E-2,2.414404856E-1
1.366666667E0,3.136427563E-2,2.425457636E-1
1.400000000E0,3.125151131E-2,2.457482071E-1
1.433333333E0,3.138844716E-2,2.524796076E-1
1.466666667E0,3.124982130E-2,2.609459557E-1
1.500000000E0,3.119830393E-2,2.701325985E-1
1.533333333E0,3.128266607E-2,2.789426619E-1
1.566666667E0,3.168374564E-2,2.866683813E-1
1.600000000E0,3.164202853E-2,2.925054775E-1
1.633333333E0,3.149034026E-2,2.954880259E-1
1.666666667E0,3.192934094E-2,2.960716502E-1
1.700000000E0,3.197409508E-2,2.958192849E-1
1.733333333E0,3.265837727E-2,2.958162764E-1
