t,x,y
0.000000000E0,-2.480903676E-1,-5.926701575E-2
3.333333333E-2,-2.392883360E-1,-6.437533956E-2
6.666666667E-2,-2.241910145E-1,-7.143102803E-2
1.000000000E-1,-2.094846656E-1,-7.981421828E-2
1.333333333E-1,-1.844774331E-1,-9.776813115E-2
1.666666667E-1,-1.816395601E-1,-1.009558103E-1
2.000000000E-1,-1.824857209E-1,-9.789540757E-2
2.333333333E-1,-2.054348829E-1,-8.548285466E-2
2.666666667E-1,-2.316791709E-1,-7.245859161E-2
3.000000000E-1,-2.591084730E-1,-6.024598568E-2
3.333333333E-1,-2.692400776E-1,-5.141539076E-2
3.666666667E-1,-2.749474992E-1,-4.390111961E-2
4.000000000E-1,-2.813177170E-1,-3.113226800E-2
4.333333333E-1,-2.919646445E-1,-1.179808714E-2
4.666666667E-1,-3.087870106E-1,2.090154104E-2
5.000000000E-1,-3.274487510E-1,7.895939119E-2
5.333333333E-1,-3.335195693E-1,1.175129833E-1
5.666666667E-1,-3.351269908E-1,1.362136635E-1
6.000000000E-1,-3.342623435E-1,1.377366398E-1
6.333333333E-1,-3.330746889E-1,1.234011361E-1
6.666666667E-1,-3.284940887E-1,8.623608308E-2
7.000000000E-1,-3.120976993E-1,3.630851879E-2
7.333333333E-1,-2.908458418E-1,-7.022166961E-3
7.666666667E-1,-2.494678235E-1,-4.646788563E-2
8.000000000E-1,-1.913113555E-1,-8.202744924E-2
8.333333333E-1,-2.355417857E-1,-5.428392666E-2
8.666666667E-1,-2.171155611E-1,-6.386597990E-2
9.000000000E-1,-1.928835105E-1,-8.048341980E-2
9.333333333E-1,-1.872745890E-1,-8.628601342E-2
9.666666667E-1,-1.932702074E-1,-8.649613392E-2
1.000000000E0,-2.079068526E-1,-8.039314925E-2
1.033333333E0,-2.311869516E-1,-6.830234646E-2
1.066666667E0,-2.554230504E-1,-5.086156274E-2
1.100000000E0,-2.692150052E-1,-3.991880947E-2
1.133333333E0,-2.775793210E-1,-3.101886186E-2
1.166666667E0,-2.816938606E-1,-2.026091487E-2
1.200000000E0,-2.892749890E-1,-5.062276430E-3
1.233333333E0,-3.038573919E-1,2.255361421E-2
1.266666667E0,-3.199856840E-1,6.213765161E-2
1.300000000E0,-3.309743280E-1,1.045074362E-1
1.333333333E0,-3.360443022E-1,1.446603872E-1
1.366666667E0,-3.311298458E-1,1.714142328E-1
1.400000000E0,-3.355147704E-1,1.477588968E-1
1.433333333E0,-3.302227522E-1,1.329789807E-1
1.466666667E0,-3.202867999E-1,6.719233671E-2
1.500000000E0,-2.963149270E-1,1.831074683E-2
1.533333333E0,-2.756020040E-1,-1.262401119E-2
1.566666667E0,-2.411617542E-1,-4.235350316E-2
1.600000000E0,-1.902623341E-1,-8.021554039E-2
1.633333333E0,-2.184175428E-1,-5.633642513E-2
1.666666667E0,-2.036774232E-1,-6.648346085E-2
1.700000000E0,-1.887228451E-1,-6.953321417E-2
1.733333333E0,-1.868063104E-1,-7.199901381E-2
1.766666667E0,-1.971995292E-1,-7.098724640E-2
1.800000000E0,-2.181021061E-1,-7.062955140E-2
1.833333333E0,-2.390688047E-1,-5.948473679E-2
1.866666667E0,-2.545017904E-1,-4.965140866E-2
1.900000000E0,-2.647479285E-1,-4.224464426E-2
1.933333333E0,-2.703246585E-1,-3.584139742E-2
1.966666667E0,-2.776234863E-1,-2.335670073E-2
2.000000000E0,-2.790806287E-1,8.571903822E-3
2.033333333E0,-2.953507234E-1,3.909919430E-2
