t,x,y
0.000000000E0,1.704620534E-1,-1.598993911E-2
4.166666667E-3,1.704681575E-1,-1.598556630E-2
8.333333333E-3,1.704861804E-1,-1.597927701E-2
1.250000000E-2,1.705215790E-1,-1.597006049E-2
1.666666667E-2,1.705020715E-1,-1.595735602E-2
2.083333333E-2,1.704987237E-1,-1.595772061E-2
2.500000000E-2,1.705048086E-1,-1.599936265E-2
2.916666667E-2,1.705044623E-1,-1.599752874E-2
3.333333333E-2,1.704739670E-1,-1.598130302E-2
3.750000000E-2,1.704788002E-1,-1.597858279E-2
4.166666667E-2,1.704962320E-1,-1.596807042E-2
4.583333333E-2,1.705051222E-1,-1.597147037E-2
5.000000000E-2,1.704990677E-1,-1.596001468E-2
5.416666667E-2,1.705242482E-1,-1.596016035E-2
5.833333333E-2,1.704930831E-1,-1.590164090E-2
6.250000000E-2,1.704608134E-1,-1.596818214E-2
6.666666667E-2,1.704965723E-1,-1.604433913E-2
7.083333333E-2,1.705058024E-1,-1.604666424E-2
7.500000000E-2,1.704474813E-1,-1.635485227E-2
7.916666667E-2,1.704488641E-1,-1.680841528E-2
8.333333333E-2,1.704753734E-1,-1.703104560E-2
8.750000000E-2,1.703086891E-1,-1.750664966E-2
9.166666667E-2,1.701906094E-1,-1.871775438E-2
9.583333333E-2,1.701444435E-1,-1.969316328E-2
1.000000000E-1,1.699377539E-1,-2.090832910E-2
1.041666667E-1,1.697183814E-1,-2.287571884E-2
1.083333333E-1,1.695774680E-1,-2.484984958E-2
1.125000000E-1,1.692213755E-1,-2.664818420E-2
1.166666667E-1,1.689040053E-1,-2.896051032E-2
1.208333333E-1,1.686186143E-1,-3.131632238E-2
1.250000000E-1,1.681606397E-1,-3.332695614E-2
1.291666667E-1,1.677713534E-1,-3.566399037E-2
1.333333333E-1,1.674733733E-1,-3.816420559E-2
1.375000000E-1,1.671102699E-1,-4.023791423E-2
1.416666667E-1,1.665515951E-1,-4.255019925E-2
1.458333333E-1,1.658948682E-1,-4.523086799E-2
1.500000000E-1,1.654241317E-1,-4.727514358E-2
1.541666667E-1,1.646448604E-1,-4.947237216E-2
1.583333333E-1,1.639711546E-1,-5.218892411E-2
1.625000000E-1,1.633887505E-1,-5.442462572E-2
1.666666667E-1,1.624925516E-1,-5.668903027E-2
1.708333333E-1,1.616524392E-1,-5.964418322E-2
1.750000000E-1,1.607586417E-1,-6.241642977E-2
1.791666667E-1,1.599492668E-1,-6.493201307E-2
1.833333333E-1,1.587105457E-1,-6.796740253E-2
1.875000000E-1,1.576496124E-1,-7.093043699E-2
1.916666667E-1,1.565577736E-1,-7.351794007E-2
1.958333333E-1,1.552964200E-1,-7.631296304E-2
2.000000000E-1,1.541206427E-1,-7.922896146E-2
2.041666667E-1,1.528419304E-1,-8.178723823E-2
2.083333333E-1,1.513908407E-1,-8.459720460E-2
2.125000000E-1,1.499970035E-1,-8.756960133E-2
2.166666667E-1,1.487033082E-1,-9.025291251E-2
2.208333333E-1,1.470712152E-1,-9.268014069E-2
2.250000000E-1,1.456288743E-1,-9.556480582E-2
2.291666667E-1,1.440939736E-1,-9.820880981E-2
2.333333333E-1,1.423492255E-1,-1.007132919E-1
2.375000000E-1,1.408063347E-1,-1.030776225E-1
2.416666667E-1,1.390712774E-1,-1.057346046E-1
2.458333333E-1,1.372408225E-1,-1.082608034E-1
2.500000000E-1,1.353224862E-1,-1.109563493E-1
2.541666667E-1,1.334162263E-1,-1.134150124E-1
2.583333333E-1,1.314773827E-1,-1.160303196E-1
2.625000000E-1,1.292587655E-1,-1.186868282E-1
2.666666667E-1,1.273833749E-1,-1.210672193E-1
2.708333333E-1,1.252008240E-1,-1.233903830E-1
2.750000000E-1,1.229024655E-1,-1.258017657E-1
2.791666667E-1,1.208786560E-1,-1.281620274E-1
2.833333333E-1,1.187737929E-1,-1.301729801E-1
2.875000000E-1,1.164784767E-1,-1.322506496E-1
2.916666667E-1,1.143792918E-1,-1.343581844E-1
2.958333333E-1,1.120806502E-1,-1.366317329E-1
3.000000000E-1,1.098004757E-1,-1.384943605E-1
3.041666667E-1,1.075768917E-1,-1.402945942E-1
3.083333333E-1,1.053175848E-1,-1.421856080E-1
3.125000000E-1,1.029007896E-1,-1.442052367E-1
3.166666667E-1,1.007150075E-1,-1.458754220E-1
3.208333333E-1,9.840480765E-2,-1.475062701E-1
3.250000000E-1,9.602802696E-2,-1.491941713E-1
3.291666667E-1,9.365691012E-2,-1.508619639E-1
3.333333333E-1,9.161864916E-2,-1.524298148E-1
3.375000000E-1,8.924903109E-2,-1.537672958E-1
3.416666667E-1,8.700690332E-2,-1.551107955E-1
3.458333333E-1,8.476595126E-2,-1.565844513E-1
3.500000000E-1,8.272546293E-2,-1.578441257E-1
3.541666667E-1,8.056345598E-2,-1.590254549E-1
3.583333333E-1,7.847598649E-2,-1.602104584E-1
3.625000000E-1,7.634039647E-2,-1.614860405E-1
3.666666667E-1,7.450463372E-2,-1.622611727E-1
3.708333333E-1,7.256542539E-2,-1.631600033E-1
3.750000000E-1,7.056785266E-2,-1.642055278E-1
